% This is the RIPE Database query service.
% The objects are in RPSL format.
%
% The RIPE Database is subject to Terms and Conditions.
% See https://docs.db.ripe.net/terms-conditions.html

% Note: this output has been filtered.
%       To receive output for a database update, use the "-B" flag.

% Information related to 'AS-CRIMEATEL'

as-set:         AS-CRIMEATEL
descr:          Crimea Telecommunications Ltd
members:        AS59744
tech-c:         HCTL1-RIPE
admin-c:        HCTL1-RIPE
mnt-by:         CRIMEANET-MNT
created:        2014-10-24T07:17:43Z
last-modified:  2014-10-24T07:17:43Z
source:         RIPE

person:         Hostmaster Crimea Telecommunications Ltd
address:        295053, Russia, Republic of Crimea, Simferopol city, 111, office 8, 51st Army st.
phone:          +7 978 9562607
nic-hdl:        HCTL1-RIPE
mnt-by:         CRIMEANET-MNT
created:        2014-10-21T04:13:31Z
last-modified:  2017-10-30T22:39:53Z
source:         RIPE # Filtered

% This query was served by the RIPE Database Query Service version 1.116 (BUSA)


