as-set:         as-dtln-spb6
descr:          DTLN IPv6 downstreams
members:        AS205305
tech-c:         DUMY-RIPE
admin-c:        DUMY-RIPE
mnt-by:         DTLN-MNT
created:        2017-09-28T14:44:09Z
last-modified:  2017-09-28T14:44:09Z
source:         RIPE
remarks:        ****************************
remarks:        * THIS OBJECT IS MODIFIED
remarks:        * Please note that all data that is generally regarded as personal
remarks:        * data has been removed from this object.
remarks:        * To view the original object, please query the RIPE Database at:
remarks:        * http://www.ripe.net/whois
remarks:        ****************************
