as-set:         AS-UNIONTEL-RU
descr:          ASes routed by union-tel.ru
members:        AS48293
members:        AS211134
members:        AS47104
members:        AS43595
members:        AS-UGRESHA
members:        AS50182
members:        AS47454
members:        AS51081
members:        AS49357
members:        AS42511
members:        AS49775
members:        AS205784
tech-c:         DUMY-RIPE
members:        AS49775
members:        AS57073
members:        AS47119
members:        AS196938
members:        AS59665
members:        AS60986
members:        AS56493
members:        AS197460
members:        AS197567
members:        AS49925
members:        AS48573
members:        AS51892
members:        AS-VOENTELECOM
members:        AS206814
members:        AS44342:AS-MARUSHKINONET
members:        AS-UNITEDNETS
members:        AS198539
members:        AS64419
members:        AS210201
members:        AS-NXSS
members:        AS49778
members:        AS197756
members:        AS-PROXIMANET-RU
members:        AS57375
members:        as-nxss
members:        AS208936
admin-c:        DUMY-RIPE
mnt-by:         RU-NNTL-MNT
created:        2009-03-27T13:33:52Z
last-modified:  2024-03-15T15:32:38Z
source:         RIPE

