as-set:         AS-RTD
descr:          Orange Romania
members:        AS-ABTELECOM
members:        AS-AMBRA
members:        AS-ANCPI
members:        AS-CAROSYSTEM
members:        AS-CDN77
members:        AS-CLAX
members:        AS-CNETWORK
members:        AS-COSMOTETDN
members:        AS-DIALTELECOMRO
members:        AS-DIGICOMM
members:        AS-DIRECTONE
members:        AS-ETP
members:        AS-FXSOFT-ALL
members:        AS-GIR
members:        AS-INOVOSET
members:        AS-INTERNIO
members:        AS-IST
members:        AS-MITNET
members:        AS-MOBIFON
members:        AS-MOLDCELL
members:        AS-MOLDTELECOM
members:        AS-NANONET
members:        AS-NAV
members:        AS-NETVISIONTEL
members:        AS-NEWCOMTEL
members:        AS-NEXTGEN
members:        AS-NOVACOMM
members:        AS-OPTICNET
members:        AS-ORANGEMD
members:        AS-ORANGERO
members:        AS-PANELECTRO
members:        AS-PHASE7
members:        AS-ROHOSTWAY
members:        AS-SET-SOFTEX
members:        AS-STARNET
members:        AS-STARNETRANS
members:        AS-TELECN
members:        AS-TVSAT-TRANSIT
members:        AS-UNIVERSNET
members:        AS-WGS
members:        AS6693
members:        AS8635
members:        AS8953
members:        AS9050
members:        AS12442
members:        AS13085
members:        AS13150
members:        AS16120
members:        AS16199
members:        AS20601
members:        AS20668
members:        AS21368
members:        AS21433
members:        AS25198
members:        AS25278
members:        AS25326
members:        AS25378
members:        AS25409
members:        AS25536
members:        AS28763
members:        AS28853
members:        AS29098
members:        AS29267
members:        AS29306
members:        AS29628
members:        AS30863
members:        AS30885
members:        AS30948
members:        AS31038
members:        AS31074
members:        AS31102
members:        AS31362
members:        AS31454
members:        AS31605
members:        AS31609
members:        AS33839
members:        AS33971
members:        AS33977
members:        AS34022
members:        AS34184
members:        AS34283
members:        AS34415
members:        AS34416
members:        AS34543
members:        AS34551
members:        AS34560
members:        AS34640
members:        AS34679
members:        AS34711
members:        AS34740
members:        AS34795
members:        AS34915
members:        AS35261
members:        AS35351
members:        AS35386
members:        AS35478
members:        AS35626
members:        AS35726
members:        AS35820
members:        AS39081
members:        AS39203
members:        AS39226
members:        AS39277
members:        AS39347
members:        AS39425
members:        AS39474
members:        AS39492
members:        AS39502
members:        AS39516
members:        AS39668
members:        AS39712
members:        AS39777
members:        AS39797
members:        AS39803
members:        AS39809
members:        AS39814
members:        AS39903
members:        AS41028
members:        AS41043
members:        AS41055
members:        AS41087
members:        AS41131
members:        AS41492
members:        AS41496
members:        AS41534
members:        AS41537
members:        AS41638
members:        AS41752
members:        AS41772
members:        AS41807
members:        AS41823
members:        AS41852
members:        AS41859
members:        AS41953
members:        AS42234
members:        AS42405
members:        AS42508
members:        AS42583
members:        AS42640
members:        AS42660
members:        AS42712
members:        AS42756
members:        AS42790
members:        AS42890
members:        AS42934
members:        AS42939
members:        AS42952
members:        AS43283
members:        AS43360
members:        AS43443
members:        AS43464
members:        AS43473
members:        AS43474
members:        AS43501
members:        AS43587
members:        AS43631
members:        AS43807
members:        AS43840
members:        AS43891
