route6:         2a03:aa00:1000::/48
descr:          UgSel'hoz LLC
origin:         AS199833
mnt-by:         ugsel-mnt
created:        2015-08-13T15:20:00Z
last-modified:  2015-08-13T15:20:00Z
source:         RIPE


route:          81.177.186.0/24
descr:          UgSelhoz-net
origin:         AS199833
mnt-by:         UgSel-mnt
created:        2018-03-28T09:29:10Z
last-modified:  2018-03-28T09:29:10Z
source:         RIPE


route:          81.177.254.0/23
descr:          UgSelhoz-net
origin:         AS199833
mnt-by:         ugsel-mnt
created:        2014-10-14T14:21:00Z
last-modified:  2014-10-14T14:21:00Z
source:         RIPE


route:          81.177.254.0/24
descr:          UgSelhoz-net
origin:         AS199833
mnt-by:         UgSel-mnt
created:        2020-11-20T19:06:12Z
last-modified:  2020-11-20T19:06:12Z
source:         RIPE


route:          81.177.255.0/24
descr:          UgSelhoz-net
origin:         AS199833
mnt-by:         UgSel-mnt
created:        2020-11-20T19:07:00Z
last-modified:  2020-11-20T19:07:00Z
source:         RIPE


route:          91.235.42.0/24
descr:          UgSel'hoz LLC
origin:         AS199833
mnt-by:         ugsel-mnt
created:        2014-02-04T12:20:50Z
last-modified:  2014-10-14T13:45:55Z
source:         RIPE


