route6:         2a00:ab01::/32
descr:          Servercore Network
origin:         AS50149
mnt-by:         servercore-mnt
created:        2022-03-21T12:59:34Z
last-modified:  2022-06-15T13:41:16Z
source:         RIPE


route:          89.104.107.0/24
origin:         AS50149
mnt-by:         servercore-mnt
created:        2022-03-02T15:41:11Z
last-modified:  2022-06-15T16:13:53Z
source:         RIPE


route:          89.104.119.0/24
origin:         AS50149
mnt-by:         servercore-mnt
created:        2022-04-21T06:46:06Z
last-modified:  2022-06-15T16:15:02Z
source:         RIPE


route:          89.104.125.0/24
descr:          Servercore Route Object
origin:         AS50149
mnt-by:         servercore-mnt
created:        2022-04-21T07:12:19Z
last-modified:  2022-06-15T16:41:36Z
source:         RIPE


