route6:         2a00:9801:e001::/48
origin:         AS199072
mnt-by:         mnt-ru-avantelspb-1
created:        2018-08-14T14:51:51Z
last-modified:  2023-07-21T09:53:59Z
source:         RIPE


route:          37.46.60.0/24
descr:          "Center of Computor Research" JSC
origin:         AS199072
mnt-by:         SEVEREN-MNT
mnt-by:         CKR-MNT
created:        2012-08-14T06:32:34Z
last-modified:  2012-08-14T06:32:34Z
source:         RIPE


route:          5.61.15.0/24
descr:          Kodeks-Line
origin:         AS199072
mnt-by:         OPTICAL-NET-MNT
mnt-by:         mnt-ru-avantelspb-1
created:        2013-02-13T17:25:18Z
last-modified:  2023-07-21T09:53:44Z
source:         RIPE


