route6:         2a10:ad80::/48
origin:         AS24658
mnt-by:         IVC-MNT
mnt-by:         PCS-MNT
created:        2023-04-06T13:19:05Z
last-modified:  2023-04-06T13:19:05Z
source:         RIPE


route:          81.19.128.0/20
descr:          NN-IVC-NET
origin:         AS24658
mnt-by:         IVC-MNT
created:        2002-03-13T14:16:52Z
last-modified:  2002-03-13T14:16:52Z
source:         RIPE


route:          81.19.128.0/23
origin:         AS44391
mnt-by:         IVC-MNT
created:        2024-12-10T10:32:48Z
last-modified:  2024-12-10T10:32:48Z
source:         RIPE


route:          81.19.128.0/24
descr:          NN-IVC-NET
origin:         AS24658
mnt-by:         IVC-MNT
created:        2006-05-02T08:46:14Z
last-modified:  2006-05-02T08:46:14Z
source:         RIPE


route:          81.19.129.0/24
descr:          NN-IVC-NET
origin:         AS24658
mnt-by:         IVC-MNT
created:        2006-05-02T08:48:03Z
last-modified:  2006-05-02T08:48:03Z
source:         RIPE


route:          81.19.130.0/24
origin:         AS44391
mnt-by:         IVC-MNT
created:        2024-12-10T10:33:17Z
last-modified:  2024-12-10T10:33:17Z
source:         RIPE


route:          81.19.142.0/23
origin:         AS44391
mnt-by:         IVC-MNT
created:        2024-12-10T10:33:52Z
last-modified:  2024-12-10T10:33:52Z
source:         RIPE


route:          81.19.142.0/24
descr:          NN-IVC-NET
origin:         AS24658
mnt-by:         IVC-MNT
created:        2020-09-21T08:57:04Z
last-modified:  2020-09-21T08:57:04Z
source:         RIPE


route:          81.19.143.0/24
descr:          NN-IVC-NET
origin:         AS24658
mnt-by:         IVC-MNT
created:        2013-06-25T13:03:56Z
last-modified:  2013-06-25T13:03:56Z
source:         RIPE


