as-set:         AS33904:AS-TELCOMNET
members:        AS33904
members:        AS9134
tech-c:         DUMY-RIPE
admin-c:        DUMY-RIPE
mnt-by:         lir-ru-telcomnet-1-MNT
created:        2025-08-20T18:39:20Z
last-modified:  2025-08-20T18:39:20Z
source:         RIPE
remarks:        ****************************
remarks:        * THIS OBJECT IS MODIFIED
remarks:        * Please note that all data that is generally regarded as personal
remarks:        * data has been removed from this object.
remarks:        * To view the original object, please query the RIPE Database at:
remarks:        * http://www.ripe.net/whois
remarks:        ****************************


aut-num:        AS33904
as-name:        TELCOMNET-AS
descr:          Telcomnet LLC, Moscow, Russia
import:         from AS20764 accept ANY
import:         from AS9134 accept AS9134
export:         to AS20764 announce AS-INTELCOM
export:         to AS9134 announce ANY
org:            ORG-LLC50-RIPE
admin-c:        DUMY-RIPE
tech-c:         DUMY-RIPE
status:         ASSIGNED
mnt-by:         RIPE-NCC-END-MNT
mnt-by:         lir-ru-telcomnet-1-MNT
created:        2004-09-03T08:23:34Z
last-modified:  2025-08-20T19:23:09Z
source:         RIPE
remarks:        ****************************
remarks:        * THIS OBJECT IS MODIFIED
remarks:        * Please note that all data that is generally regarded as personal
remarks:        * data has been removed from this object.
remarks:        * To view the original object, please query the RIPE Database at:
remarks:        * http://www.ripe.net/whois
remarks:        ****************************


